,Simulation Number,ExitSlit.openingHeight,CPMU20.photonEnergy,PG.orderDiffraction,CPMU20.numberRays,PG.cFactor,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs,AXUVCurrentAmp,GaAsPCurrentAmp
1493,1493,0.02,5072,2,500000.0,5.98444863322534,,500000.0,100.0,5072.0,5.068992286413049,0.1747707880342745,0.0268002288169804,,1.0005933553292263,100.05933553292265,,,
1494,1494,0.02,5076,2,500000.0,5.98586944933189,,500000.0,100.0,5076.0,5.074291458045991,0.1788750072218041,0.0270743333609219,,1.00033670552197,100.033670552197,,,
1495,1495,0.02,5080,2,500000.0,5.98692305074556,,500000.0,100.0,5080.0,5.07569153787972,0.1774897305889428,0.0268380955153495,,1.0008488423869193,100.08488423869191,,,
1496,1496,0.02,5084,2,500000.0,5.98748460733669,,500000.0,100.0,5084.0,5.083475565443223,0.177086147405386,0.0274113779247655,,1.0001031645672387,100.01031645672388,,,
1497,1497,0.02,5088,2,500000.0,5.98767727810912,,500000.0,100.0,5088.0,5.087315329265948,0.1774627475369035,0.0272593952886057,,1.000134583899314,100.0134583899314,,,
1498,1498,0.02,5092,2,500000.0,5.98737647153048,,500000.0,100.0,5092.0,5.090971853389419,0.1773159394670265,0.027262296000626,,1.0002019548801664,100.02019548801664,,,
1499,1499,0.02,5096,2,500000.0,5.98670584712395,,500000.0,100.0,5096.0,3.463332722028537,0.1772283504709608,0.0268679513378352,,1.471415081660182,147.1415081660182,,,
1500,1500,0.02,5100,2,500000.0,5.98566522431033,,500000.0,100.0,5100.0,5.0996302101648325,0.1788386051342277,0.0274526509921421,,1.000072513068581,100.0072513068581,,,
1501,1501,0.02,5104,2,500000.0,6.03419528143443,,500000.0,100.0,5104.0,5.103478903210089,0.1767542898181575,0.0270501922384456,,1.000102106190658,100.01021061906582,,,
1502,1502,0.02,5108,2,500000.0,6.03215084341592,,500000.0,100.0,5108.0,5.105442982479872,0.1726523340582667,0.0270561508731218,,1.0005008414605556,100.05008414605555,,,
1503,1503,0.02,5112,2,500000.0,6.02973044525498,,500000.0,100.0,5112.0,5.109965129671764,0.1784326751217343,0.0271328020860458,,1.0003982160888771,100.0398216088877,,,
1504,1504,0.02,5116,2,500000.0,6.0268085048013,,500000.0,100.0,5116.0,5.11511855299068,0.1798742920050407,0.0268839848235772,,1.0001723219120318,100.01723219120318,,,
1505,1505,0.02,5120,2,500000.0,6.02338595343245,,500000.0,100.0,5120.0,5.119644994389091,0.1756773066341477,0.0274290271107192,,1.0000693418413382,100.00693418413384,,,
1506,1506,0.02,5124,2,500000.0,6.01958984456694,,500000.0,100.0,5124.0,5.116535552977439,0.175686705057605,0.0269044669164689,,1.00145888696468,100.145888696468,,,
1507,1507,0.02,5128,2,500000.0,6.0154212166282,,500000.0,100.0,5128.0,5.1276483429655855,0.1796708144127444,0.0298707835220217,,1.0000685805677174,100.00685805677172,,,
1508,1508,0.02,5132,2,500000.0,6.01075567379867,,500000.0,100.0,5132.0,5.128326739568365,0.1797451131718435,0.0273979881458211,,1.000716268798416,100.07162687984162,,,
1509,1509,0.02,5136,2,500000.0,6.05619589798946,,500000.0,100.0,5136.0,5.13548159919992,0.1776701417775944,0.0270629018211026,,1.0001009449240672,100.01009449240672,,,
1510,1510,0.02,5140,2,500000.0,6.05046240373416,,500000.0,100.0,5140.0,5.138400885476585,0.1775789164728117,0.0274430727010736,,1.000311208595642,100.0311208595642,,,
1511,1511,0.02,5144,2,500000.0,6.04422963563894,,500000.0,100.0,5144.0,5.138889664398448,0.1788088820711092,0.0272440913017223,,1.0009944435345548,100.09944435345548,,,
1512,1512,0.02,5148,2,500000.0,6.03762719767526,,500000.0,100.0,5148.0,5.146956899049656,0.1800282018328086,0.0273546489183977,,1.0002026636264505,100.02026636264505,,,
1513,1513,0.02,5152,2,500000.0,6.0304038472486,,500000.0,100.0,5152.0,5.140602544010108,0.1722956731039466,0.0268059228424827,,1.0022171439811416,100.22171439811414,,,
1514,1514,0.02,5156,2,500000.0,6.02268993778305,,500000.0,100.0,5156.0,5.155131375815472,0.1751060802252703,0.0267744825739472,,1.0001684970025406,100.01684970025408,,,
1515,1515,0.02,5160,2,500000.0,6.0654945235486,,500000.0,100.0,5160.0,5.159479614298107,0.1791040835373804,0.0268059546872635,,1.000100860113964,100.0100860113964,,,
1516,1516,0.02,5164,2,500000.0,6.05667571925127,,500000.0,100.0,5164.0,5.162274548179994,0.1779504788669052,0.0269036768241506,,1.000334242552174,100.0334242552174,,,
1517,1517,0.02,5168,2,500000.0,6.04736890631257,,500000.0,100.0,5168.0,5.167651543728425,0.1716852033945344,0.0271861767202404,,1.0000674302956822,100.0067430295682,,,
