Simulation Number,ExitSlit.openingHeight,CPMU20.photonEnergy,PG.orderDiffraction,CPMU20.numberRays,PG.cFactor
508,0.02,1518,2,500000.0,1.65279551021382
509,0.02,1520,2,500000.0,1.65386866368164
510,0.02,1522,2,500000.0,1.65494170927134
511,0.02,1524,2,500000.0,1.65601737046599
512,0.02,1526,2,500000.0,1.65709289017178
513,0.02,1528,2,500000.0,1.65817100850774
514,0.02,1530,2,500000.0,1.65924617724698
515,0.02,1532,2,500000.0,1.66032391025481
516,0.02,1534,2,500000.0,1.66140141611748
517,0.02,1536,2,500000.0,1.66248146836303
518,0.02,1538,2,500000.0,1.66356125834534
519,0.02,1540,2,500000.0,1.66576883018961
520,0.02,1542,2,500000.0,1.6668514497279
521,0.02,1544,2,500000.0,1.66793373203937
522,0.02,1546,2,500000.0,1.6690184998339
523,0.02,1548,2,500000.0,1.67010289386714
524,0.02,1550,2,500000.0,1.67118688703001
525,0.02,1552,2,500000.0,1.67227332759446
526,0.02,1554,2,500000.0,1.67335932998223
527,0.02,1556,2,500000.0,1.67444486664753
528,0.02,1558,2,500000.0,1.67553281157109
529,0.02,1560,2,500000.0,1.67662025268967
530,0.02,1562,2,500000.0,1.67771008122563
531,0.02,1564,2,500000.0,1.67879936738647
532,0.02,1566,2,500000.0,1.67989101971152
533,0.02,1568,2,500000.0,1.68097914497167
534,0.02,1570,2,500000.0,1.6820695970425
535,0.02,1572,2,500000.0,1.68315941041203
536,0.02,1574,2,500000.0,1.68425152837438
537,0.02,1576,2,500000.0,1.68534296749524
538,0.02,1578,2,500000.0,1.68763420793944
539,0.02,1580,2,500000.0,1.68872777614473
540,0.02,1582,2,500000.0,1.68982661204537
541,0.02,1584,2,500000.0,1.69092469073647
542,0.02,1586,2,500000.0,1.69202198241605
543,0.02,1588,2,500000.0,1.69312149967812
544,0.02,1590,2,500000.0,1.69422018789828
545,0.02,1592,2,500000.0,1.69532107747228
546,0.02,1594,2,500000.0,1.69642109546972
547,0.02,1596,2,500000.0,1.69752021135639
548,0.02,1598,2,500000.0,1.6986214823262
549,0.02,1600,2,500000.0,1.69972180784833
550,0.02,1602,2,500000.0,1.70082426307364
551,0.02,1604,2,500000.0,1.70192572900666
552,0.02,1606,2,500000.0,1.70302929882373
