Simulation Number,ExitSlit.totalHeight,CPMU20.photonEnergy,PG.orderDiffraction,CPMU20.numberRays,PG.cFactor
490,0.05,1482,2,500000.0,1.63252361152239
491,0.05,1484,2,500000.0,1.63358637842757
492,0.05,1486,2,500000.0,1.63464684081556
493,0.05,1488,2,500000.0,1.63571013845086
494,0.05,1490,2,500000.0,1.63677367170429
495,0.05,1492,2,500000.0,1.63783741784768
496,0.05,1494,2,500000.0,1.63890135400087
497,0.05,1496,2,500000.0,1.63996545713164
498,0.05,1498,2,500000.0,1.64102970405558
499,0.05,1500,2,500000.0,1.642094071436
500,0.05,1502,2,500000.0,1.64315853578386
501,0.05,1504,2,500000.0,1.6452904916716
502,0.05,1506,2,500000.0,1.64636106025239
503,0.05,1508,2,500000.0,1.64743167618473
504,0.05,1510,2,500000.0,1.64850231535038
505,0.05,1512,2,500000.0,1.64957565182227
506,0.05,1514,2,500000.0,1.65064897951052
507,0.05,1516,2,500000.0,1.65172227387316
508,0.05,1518,2,500000.0,1.65279551021382
509,0.05,1520,2,500000.0,1.65386866368164
510,0.05,1522,2,500000.0,1.65494170927134
511,0.05,1524,2,500000.0,1.65601737046599
512,0.05,1526,2,500000.0,1.65709289017178
513,0.05,1528,2,500000.0,1.65817100850774
514,0.05,1530,2,500000.0,1.65924617724698
515,0.05,1532,2,500000.0,1.66032391025481
516,0.05,1534,2,500000.0,1.66140141611748
517,0.05,1536,2,500000.0,1.66248146836303
518,0.05,1538,2,500000.0,1.66356125834534
519,0.05,1540,2,500000.0,1.66576883018961
520,0.05,1542,2,500000.0,1.6668514497279
521,0.05,1544,2,500000.0,1.66793373203937
522,0.05,1546,2,500000.0,1.6690184998339
523,0.05,1548,2,500000.0,1.67010289386714
524,0.05,1550,2,500000.0,1.67118688703001
525,0.05,1552,2,500000.0,1.67227332759446
526,0.05,1554,2,500000.0,1.67335932998223
527,0.05,1556,2,500000.0,1.67444486664753
528,0.05,1558,2,500000.0,1.67553281157109
529,0.05,1560,2,500000.0,1.67662025268967
530,0.05,1562,2,500000.0,1.67771008122563
531,0.05,1564,2,500000.0,1.67879936738647
532,0.05,1566,2,500000.0,1.67989101971152
533,0.05,1568,2,500000.0,1.68097914497167
534,0.05,1570,2,500000.0,1.6820695970425
